epoch,accuracy,loss,val_accuracy,val_loss
0,0.37226682901382446,1.3178834915161133,0.5100864768028259,1.2660630941390991
1,0.6648215055465698,0.9578821063041687,0.6657060384750366,0.9032614827156067
2,0.7996125221252441,0.5623911023139954,0.6974063515663147,0.7864288687705994
3,0.8510932922363281,0.402481347322464,0.7002881765365601,0.7727338075637817
4,0.8793246746063232,0.32173311710357666,0.7175792455673218,0.7835456728935242
5,0.9106006026268005,0.25552964210510254,0.7175792455673218,0.8762226104736328
6,0.9269305467605591,0.2151147574186325,0.680115282535553,0.8939835429191589
7,0.9432604312896729,0.17738540470600128,0.7031700015068054,0.9561323523521423
8,0.9570993781089783,0.14817214012145996,0.6743515729904175,1.0330729484558105
9,0.9593135714530945,0.13500027358531952,0.6916426420211792,1.0636122226715088
10,0.9659562706947327,0.12075978517532349,0.6829971075057983,1.115707278251648
11,0.9665098190307617,0.10938024520874023,0.6829971075057983,1.1496177911758423
12,0.9709382653236389,0.10269412398338318,0.6714697480201721,1.1888055801391602
13,0.972875714302063,0.09895212948322296,0.6772334575653076,1.2214345932006836
14,0.9712150692939758,0.09343326091766357,0.651296854019165,1.2403405904769897
15,0.9745364189147949,0.08661829680204391,0.6541786789894104,1.3128050565719604
16,0.9717686176300049,0.08359575271606445,0.6714697480201721,1.318812370300293
17,0.973706066608429,0.07736951112747192,0.6772334575653076,1.3447052240371704
18,0.9786880612373352,0.06739282608032227,0.6714697480201721,1.3690693378448486
19,0.9753667116165161,0.07232294231653214,0.6772334575653076,1.4140455722808838
20,0.9759202599525452,0.07313798367977142,0.6599423885345459,1.476503610610962
21,0.9775809645652771,0.06960979104042053,0.6685879230499268,1.4408882856369019
22,0.9775809645652771,0.07077987492084503,0.6657060384750366,1.5000587701797485
23,0.9797951579093933,0.060582149773836136,0.6829971075057983,1.4811450242996216
24,0.977027416229248,0.06622519344091415,0.6772334575653076,1.5061609745025635
